"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"J6WKGJ3W","journalArticle","2025","Maheshwari, R. Uma; Kumarganesh, S.; K V M, Shree; Gopalakrishnan, A.; Selvi, K.; Paulchamy, B.; Rishabavarthani, P.; Sagayam, K. Martin; Pandey, Binay Kumar; Pandey, Digvijay","Advanced Plasmonic Resonance-enhanced Biosensor for Comprehensive Real-time Detection and Analysis of Deepfake Content","Plasmonics","","1557-1955","10.1007/s11468-024-02407-0","","The rapid advancement of deep learning technologies has led to the proliferation of deepfake content, posing significant challenges for digital security, privacy, and the integrity of information. Traditional detection methods often struggle with real-time analysis and distinguishing sophisticated deepfakes. This study introduces an advanced plasmonic resonance-enhanced biosensor designed for comprehensive real-time detection and analysis of deepfake content, leveraging the unique properties of plasmonic materials to enhance sensitivity and accuracy. The biosensor system integrates plasmonic resonance techniques with machine learning algorithms to detect subtle anomalies in digital content. Plasmonic nanostructures are engineered to interact with specific optical signatures of authentic and manipulated media. The sensor’s response is captured and processed using a convolutional neural network (CNN) trained on a diverse dataset of real and deepfake images and videos. The system’s performance is evaluated based on detection accuracy, response time, and the ability to adapt to evolving deepfake techniques. The plasmonic resonance-enhanced biosensor demonstrated a significant improvement in detection capabilities compared to traditional methods. The system achieved an overall detection accuracy of 98.7%, with a false positive rate of 1.2% and a false negative rate of 0.5%. Real-time analysis showed an average response time of 0.8 s per frame, enabling efficient processing of video content. The adaptive learning capability of the CNN allowed the biosensor to maintain high accuracy even as new deepfake generation techniques were introduced. The advanced plasmonic resonance-enhanced biosensor presents a robust solution for real-time detection and analysis of deepfake content. Its high sensitivity and accuracy, coupled with rapid response times, make it an effective tool for safeguarding digital media integrity. Future work will focus on optimizing the sensor’s integration into various platforms and expanding its capabilities to detect a broader range of digital manipulations. This technology holds promise for enhancing security measures across multiple domains, including media verification, cybersecurity, and forensic analysis. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.","2025","2026-03-17 12:27:14","2026-03-17 12:27:14","","1859-1876","","4","20","","Plasmonics","","","","","","Springer","","English","","","","","Scopus","","","","","","Biosensor; Convolutional neural network (CNN); Cybersecurity; Deepfake detection; Digital security; Forensic analysis; Media integrity; Optical signatures; Plasmonic resonance; Real-time analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M4ZKAG9B","journalArticle","2024","Qadir, Abdul; Mahum, Rabbia; El-Meligy, Mohammed A.; Ragab, Adham E.; AlSalman, Abdulmalik; Awais, Muhammad","An efficient deepfake video detection using robust deep learning","Heliyon","","2405-8440","10.1016/j.heliyon.2024.e25757","","The creation and manipulation of synthetic images have evolved rapidly, causing serious concerns about their effects on society. Although there have been various attempts to identify deep fake videos, these approaches are not universal. Identifying these misleading deepfakes is the first step in preventing them from spreading on social media sites. We introduce a unique deep-learning technique to identify fraudulent clips. Most deepfake identifiers currently focus on identifying face exchange, lip synchronous, expression modification, puppeteers, and other factors. However, exploring a consistent basis for all forms of fake videos and images in real-time forensics is challenging. We propose a hybrid technique that takes input from videos of successive targeted frames, then feeds these frames to the ResNet-Swish-BiLSTM, an optimized convolutional BiLSTM-based residual network for training and classification. This proposed method helps identify artifacts in deepfake images that do not seem real. To assess the robustness of our proposed model, we used the open deepfake detection challenge dataset (DFDC) and Face Forensics deepfake collections (FF++). We achieved 96.23% accuracy when using the FF++ digital record. In contrast, we attained 78.33% accuracy using the aggregated records from FF++ and DFDC. We performed extensive experiments and believe that our proposed method provides more significant results than existing techniques. © 2024 The Authors","2024","2026-03-17 12:27:14","2026-03-17 12:27:14","","","","5","10","","Heliyon","","","","","","Elsevier Ltd","","English","","","","","Scopus","","","","C:\Users\khalid\Zotero\storage\TSK5GGLT\Qadir et al. - 2024 - An efficient deepfake video detection using robust deep learning.pdf","","Multimedia forensics; Swish; Video deepfakes; Visual manipulation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R39D779S","journalArticle","2024","Javed, Muhammad; Zhang, Zhaohui; Dahri, Fida Hussain; Laghari, Asif Ali","Real-Time Deepfake Video Detection Using Eye Movement Analysis with a Hybrid Deep Learning Approach","Electronics (Switzerland)","","2079-9292","10.3390/electronics13152947","","Deepfake technology uses artificial intelligence to create realistic but false audio, images, and videos. Deepfake technology poses a significant threat to the authenticity of visual content, particularly in live-stream scenarios where the immediacy of detection is crucial. Existing Deepfake detection approaches have limitations and challenges, prompting the need for more robust and accurate solutions. This research proposes an innovative approach: combining eye movement analysis with a hybrid deep learning model to address the need for real-time Deepfake detection. The proposed hybrid deep learning model integrates two deep neural network architectures, MesoNet4 and ResNet101, to leverage their respective architectures’ strengths for effective Deepfake classification. MesoNet4 is a lightweight CNN model designed explicitly to detect subtle manipulations in facial images. At the same time, ResNet101 handles complex visual data and robust feature extraction. Combining the localized feature learning of MesoNet4 with the deeper, more comprehensive feature representations of ResNet101, our robust hybrid model achieves enhanced performance in distinguishing between manipulated and authentic videos, which cannot be conducted with the naked eye or traditional methods. The model is evaluated on diverse datasets, including FaceForensics++, CelebV1, and CelebV2, demonstrating compelling accuracy results, with the hybrid model attaining an accuracy of 0.9873 on FaceForensics++, 0.9689 on CelebV1, and 0.9790 on CelebV2, showcasing its robustness and potential for real-world deployment in content integrity verification and video forensics applications. © 2024 by the authors.","2024","2026-03-17 12:27:15","2026-03-17 12:27:15","","","","15","13","","Electronics (Switzerland)","","","","","","Multidisciplinary Digital Publishing Institute (MDPI)","","English","","","","","Scopus","","","","C:\Users\khalid\Zotero\storage\JYCHJLMI\Javed et al. - 2024 - Real-Time Deepfake Video Detection Using Eye Movement Analysis with a Hybrid Deep Learning Approach.pdf","","Deepfake detection; hybrid model; MesoNet4; real time; ResNet101; video forensics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B9GFKRWY","journalArticle","2023","Masud, Umar; Sadiq, Mohd.; Masood, Sarfaraz; Ahmad, Musheer; Abd El-Latif, Ahmed A.","LW-DeepFakeNet: a lightweight time distributed CNN-LSTM network for real-time DeepFake video detection","Signal, Image and Video Processing","","1863-1703","10.1007/s11760-023-02633-9","","With the large-scale and pervading social media platforms and the recent advances in generative deep learning techniques, it is nowadays quite common to forge highly-realistic and credible misleading videos known as DeepFakes. These videos mean to alter the original intention behind the video to put forth their hidden ploys. In this work, a simple yet effective lightweight time distributed (LW-DeepFakeNet) model that uses both spatial and temporal information to determine whether the video has been altered is proposed. The model utilizes a transfer learning approach with pre-trained convolutional networks for spatial feature extraction, topped up with LSTMs for temporal information extraction, requiring little training data and time. This research also considers a special use case of DeepFake where a particular video sequence has a scene change and proposes a way to counter the class-imbalance present in the dataset. The resulting model is much lighter with up to 152x times reduction in parameter count while achieving a significant accuracy of 99.24% at a remarkable rate of 80 fps. © 2023, The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature.","2023","2026-03-17 12:27:16","2026-03-17 12:27:16","","4029-4037","","8","17","","Signal Image Video Process.","LW-DeepFakeNet","","","","","Springer Science and Business Media Deutschland GmbH","","English","","","","","Scopus","","","","","","DeepFake; VGG16; Video classification","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UTLSNPRK","journalArticle","2024","Xu, Junfeng; Lin, Weiguo; Fan, Wenqing; Chen, Jia; Li, Keqiu; Liu, Xiulong; Xu, Guangquan; Yi, Shengwei; Gan, Jie","A Graph Neural Network Model for Live Face Anti-Spoofing Detection Camera Systems","IEEE Internet of Things Journal","","2327-4662","10.1109/JIOT.2024.3383673","","As the demand for the Internet of Things (IoT) grows, it becomes crucial to possess systems capable of detecting any data leakage used for authentication. Within IoT camera systems based on facial bio-metric recognition, there is a risk of deepfake bypassed facial feature authentication due to the widespread use of deepfake video technologies, such as DeepFaceLive and expression manipulation. Traditional face anti-spoofing (FAS) detection techniques may struggle to detect real-time deepfake videos within IoT contexts. Moreover, constrained by the scale of FAS detection data sets, current detection models primarily focus on recognizing the entire face in videos, neglecting the intercomponent correlations of facial features. However, our investigation indicates that different parts of the face have varying impacts on deepfake detection. To address this issue, we segment the face into several regions within video frames and explore the relationships between these regions. Our approach involves constructing feature graphs that represent such correlations, aiming to leverage the relationships between facial regions and the temporal characteristics of real-time facial manipulation videos for use in live facial detection cameras. Initially, features for each facial region are extracted via convolutional neural networks (CNNs). Subsequently, with these features as vertices and their correlations as edges, a feature graph of the entire video is constructed. Ultimately, a graph neural network (GNN) is employed to determine whether the video has been tampered with. Experiments conducted on several publicly accessible data sets demonstrate that our proposed method outperforms other state-of-the-art FAS detection techniques in most scenarios. Thus, the aforementioned advanced GNN model exhibits exceptional performance in real-time deepfake detection tailored for live facial detection cameras.  © 2014 IEEE.","2024","2026-03-17 12:27:16","2026-03-17 12:27:16","","25720-25730","","15","11","","IEEE Internet Things J.","","","","","","Institute of Electrical and Electronics Engineers Inc.","","English","","","","","Scopus","","","","","","Camera systems; Cameras; deep learning; Deepfakes; Face recognition; Feature extraction; graph neural network (GNN); Internet of Things; live face anti-spoofing (FAS) detection; Security","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6JD8MHDR","journalArticle","2022","Kohli, Aditi; Gupta, Abhinav","Light-weight 3DCNN for DeepFakes, FaceSwap and Face2Face facial forgery detection","Multimedia Tools and Applications","","1380-7501","10.1007/s11042-022-12778-3","","Detecting facial forgery in real time application such as video conferencing, netbanking, verification of identity etc. is a major concern. Highly accurate facial forgery detectors will be incompatible with limited computation and storage space devices like smartphones, tablets, PCs due to their deep complex architectures. Therefore, we propose a light weight 3D convolutional neural networks (3DCNN) to detect popular facial forgeries namely, DeepFakes, Face2Face and FaceSwap. The proposed 3DCNN is a five layered architecture with only 2.69M trainable parameters. The proposed network learns spatio-temporal features to detect forged videos. Further, to understand the detection process of 3DCNN, activation maps are studied in detail. The popular FaceForensic++ dataset is employed to train and test the proposed method. In addition, the effectiveness of the proposed method is evaluated and compared with state-of-the art methods in terms of both, number of trainable parameters and binary detection accuracy. © 2022, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.","2022","2026-03-17 12:27:16","2026-03-17 12:27:16","","31391-31403","","22","81","","Multimedia Tools Appl","","","","","","Springer","","English","","","","","Scopus","","","","","","3DCNN; Face forensics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZTXNTZZ6","journalArticle","2025","Maheshwari, R. Uma; A.R, Jayasudha; Pandey, Binay Kumar; Pandey, Digvijay","Innovative Quantum PlasmoVision-Based Imaging for Real-Time Deepfake Detection","Plasmonics","","1557-1955","10.1007/s11468-025-02846-3","","In recent years, the proliferation of deepfake images has posed a substantial threat to media credibility, security, and privacy. Contemporary detection techniques, predominantly reliant on deep learning algorithms, fail to identify the nuanced pixel-level discrepancies inherent in deepfake material. This study introduces PlasmoVision, an innovative quantum-enhanced plasmonic imaging technology that incorporates AI-driven deep learning for highly sensitive real-time deepfake detection. Deepfakes alter digital images and videos to produce very persuasive fraudulent content, rendering traditional detection methods ineffective. Plasmonic surface resonance technology, in conjunction with quantum dots, has the capacity to capture intricate image features that can disclose such alterations. Integrating deep learning into this detection system improves the accuracy and velocity of analysis. The PlasmoVision technology employs quantum dot-enhanced plasmonic arrays to detect sub-pixel-level resonance shifts resulting from light interaction with the image surface. The optical signals are analyzed with a sophisticated convolutional neural network (CNN) that categorizes images according to the plasmonic resonance data. The AI model is trained on a varied dataset of genuine and deepfake photos, attaining an ideal equilibrium between detection sensitivity and speed. Real-time picture analysis is accomplished by swift plasmonic scanning and AI-driven classification. The suggested device attained an accuracy rate of 98.6% in identifying deepfakes within a test dataset, exhibiting a false positive rate of 1.2% and a false negative rate of 0.5%. The quantum-enhanced plasmonic system identified pixel abnormalities with a sensitivity of up to 10 nm, markedly surpassing conventional deepfake detection technologies. PlasmoVision real-time analysis capacity decreased processing time by 35% relative to traditional approaches, rendering it exceptionally appropriate for extensive and real-time applications. The amalgamation of quantum dot plasmonic sensing and AI-driven deep learning in PlasmoVision provides an innovative solution for the precise and instantaneous identification of deepfake images. The device’s elevated sensitivity, swift detection capability, and minimal error rates represent a notable progression in picture authentication, offering strong protection against deepfake alterations across multiple sectors, including digital media and biometric security systems. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2025.","2025","2026-03-17 12:27:16","2026-03-17 12:27:16","","7977-7993","","9","20","","Plasmonics","","","","","","Springer","","English","","","","","Scopus","","","","","","AI-driven deep learning; Convolutional neural networks; Deepfake detection; Image authentication; Media security; Optical sensing; Plasmonic surface resonance; Quantum dots; Real-time analysis; Sub-pixel detection","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XNUHHGJ8","journalArticle","2025","Abbasi, Maryam; Váz, Paulo; Silva, José; Martins, Pedro","Comprehensive Evaluation of Deepfake Detection Models: Accuracy, Generalization, and Resilience to Adversarial Attacks","Applied Sciences (Switzerland)","","2076-3417","10.3390/app15031225","","The rise of deepfakes—synthetic media generated using artificial intelligence—threatens digital content authenticity, facilitating misinformation and manipulation. However, deepfakes can also depict real or entirely fictitious individuals, leveraging state-of-the-art techniques such as generative adversarial networks (GANs) and emerging diffusion-based models. Existing detection methods face challenges with generalization across datasets and vulnerability to adversarial attacks. This study focuses on subsets of frames extracted from the DeepFake Detection Challenge (DFDC) and FaceForensics++ videos to evaluate three convolutional neural network architectures—XCeption, ResNet, and VGG16—for deepfake detection. Performance metrics include accuracy, precision, F1-score, AUC-ROC, and Matthews Correlation Coefficient (MCC), combined with an assessment of resilience to adversarial perturbations via the Fast Gradient Sign Method (FGSM). Among the tested models, XCeption achieves the highest accuracy (89.2% on DFDC), strong generalization, and real-time suitability, while VGG16 excels in precision and ResNet provides faster inference. However, all models exhibit reduced performance under adversarial conditions, underscoring the need for enhanced resilience. These findings indicate that robust detection systems must consider advanced generative approaches, adversarial defenses, and cross-dataset adaptation to effectively counter evolving deepfake threats. © 2025 by the authors.","2025","2026-03-17 12:27:16","2026-03-17 12:27:16","","","","3","15","","Appl. Sci.","Comprehensive Evaluation of Deepfake Detection Models","","","","","Multidisciplinary Digital Publishing Institute (MDPI)","","English","","","","","Scopus","","","","C:\Users\khalid\Zotero\storage\PM22V8IU\Abbasi et al. - 2025 - Comprehensive Evaluation of Deepfake Detection Models Accuracy, Generalization, and Resilience to A.pdf","","adversarial robustness; deep learning; deepfakes; detection models; DFDC; FaceForensics++; ResNet; VGG; XCeption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HEP65XWA","journalArticle","2025","Jheelan, Jhanvi; Pudaruth, Sameerchand","Using Deep Learning to Identify Deepfakes Created Using Generative Adversarial Networks","Computers","","2073-431X","10.3390/computers14020060","","Generative adversarial networks (GANs) have revolutionised various fields by creating highly realistic images, videos, and audio, thus enhancing applications such as video game development and data augmentation. However, this technology has also given rise to deepfakes, which pose serious challenges due to their potential to create deceptive content. Thousands of media reports have informed us of such occurrences, highlighting the urgent need for reliable detection methods. This study addresses the issue by developing a deep learning (DL) model capable of distinguishing between real and fake face images generated by StyleGAN. Using a subset of the 140K real and fake face dataset, we explored five different models: a custom CNN, ResNet50, DenseNet121, MobileNet, and InceptionV3. We leveraged the pre-trained models to utilise their robust feature extraction and computational efficiency, which are essential for distinguishing between real and fake features. Through extensive experimentation with various dataset sizes, preprocessing techniques, and split ratios, we identified the optimal ones. The 20k_gan_8_1_1 dataset produced the best results, with MobileNet achieving a test accuracy of 98.5%, followed by InceptionV3 at 98.0%, DenseNet121 at 97.3%, ResNet50 at 96.1%, and the custom CNN at 86.2%. All of these models were trained on only 16,000 images and validated and tested on 2000 images each. The custom CNN model was built with a simpler architecture of two convolutional layers and, hence, lagged in accuracy due to its limited feature extraction capabilities compared with deeper networks. This research work also included the development of a user-friendly web interface that allows deepfake detection by uploading images. The web interface backend was developed using Flask, enabling real-time deepfake detection, allowing users to upload images for analysis and demonstrating a practical use for platforms in need of quick, user-friendly verification. This application demonstrates significant potential for practical applications, such as on social media platforms, where the model can help prevent the spread of fake content by flagging suspicious images for review. This study makes important contributions by comparing different deep learning models, including a custom CNN, to understand the balance between model complexity and accuracy in deepfake detection. It also identifies the best dataset setup that improves detection while keeping computational costs low. Additionally, it introduces a user-friendly web tool that allows real-time deepfake detection, making the research useful for social media moderation, security, and content verification. Nevertheless, identifying specific features of GAN-generated deepfakes remains challenging due to their high realism. Future works will aim to expand the dataset by using all 140,000 images, refine the custom CNN model to increase its accuracy, and incorporate more advanced techniques, such as Vision Transformers and diffusion models. The outcomes of this study contribute to the ongoing efforts to counteract the negative impacts of GAN-generated images. © 2025 by the authors.","2025","2026-03-17 12:27:17","2026-03-17 12:27:17","","","","2","14","","Comput.","","","","","","Multidisciplinary Digital Publishing Institute (MDPI)","","English","","","","","Scopus","","","","","","CNN; deep learning; deepfake; generative adversarial networks; pre-trained models","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DWDEY4LP","journalArticle","2024","Singh, Rimjhim Padam; Sree, Nichenametla Hima; Reddy, Koti Leela Sai Praneeth; Jashwanth, Kandukuri","Convergence of Deep Learning and Forensic Methodologies Using Self-attention Integrated EfficientNet Model for Deep Fake Detection","SN Computer Science","","2662-995X","10.1007/s42979-024-03455-3","","The immensely increasing number of Deepfake technologies poses significant challenges to digital media integrity, leading to the immediate need for effective Deepfake detection methods. In light of the growing threat posed by sophisticated synthetic media, this paper tackles the urgent need for accurate deepfake detection in real-time by proposing a novel classification model employing a fine-tuned EfficientNet-B0 model with an optimally integrated Self-attention mechanism. The study also analyzes various Deepfake generation techniques by utilizing a suite of Convolutional Neural Networks namely, XceptionNet, NasNetLarge, InceptionV3, ConNextv1, ConvNext2 and EfficientB0 model on the Celeb-DF dataset for baseline model selection and performance comparison purposes. The results prove that the proposed fine-tuned EfficientNet-B0 model with integrated self-attention mechanism is the most superior at identifying complex long-range dependencies and relations in various unconnected image regions, highlighting the importance of attention mechanisms in improving deep learning models for multimedia forensics with a remarkable F-score of 97.67%. In an era marked by the proliferation of sophisticated artificial intelligence (AI)-driven synthetic media, these findings establish the foundation for strengthening digital media platform security and protecting information authenticity. © The Author(s), under exclusive licence to Springer Nature Singapore Pte Ltd. 2024.","2024","2026-03-17 12:27:17","2026-03-17 12:27:17","","","","8","5","","SN COMPUT. SCI.","","","","","","Springer","","English","","","","","Scopus","","","","","","Celeb-DF dataset; EfficientNetB0; Multimedia forensics; NasNetLarge; Self-attention mechanism; Xception Deepfake detection","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
